date,temp_max,temp_min,precipitation,rain,weather_code
2019-01-01,2.3,-1.5,6.0,3.6,73
2019-01-02,0.0,-3.0,0.1,0.0,71
2019-01-03,4.3,-4.9,0.0,0.0,3
2019-01-04,8.4,-1.0,0.0,0.0,0
2019-01-05,10.2,-0.9,0.0,0.0,1
2019-01-06,5.1,1.5,0.0,0.0,3
2019-01-07,11.6,3.0,11.4,11.4,61
2019-01-08,10.4,1.8,0.2,0.2,51
2019-01-09,4.0,-6.7,0.0,0.0,3
2019-01-10,-3.7,-8.6,0.0,0.0,3
2019-01-11,0.8,-4.8,0.0,0.0,3
2019-01-12,-0.6,-2.5,6.9,0.0,75
2019-01-13,-0.6,-2.5,2.8,0.0,73
2019-01-14,-1.1,-4.7,0.0,0.0,3
2019-01-15,-1.2,-5.3,0.0,0.0,3
2019-01-16,0.5,-2.8,0.0,0.0,3
2019-01-17,1.9,-2.0,0.4,0.0,71
2019-01-18,0.1,-2.0,0.4,0.0,71
2019-01-19,-1.2,-4.0,10.9,0.0,73
2019-01-20,-4.1,-13.1,1.3,0.0,71
2019-01-21,-10.5,-14.0,0.7,0.0,71
2019-01-22,1.1,-13.2,0.7,0.5,71
2019-01-23,1.5,-5.0,14.2,10.7,73
2019-01-24,-5.5,-13.9,0.1,0.1,51
2019-01-25,-7.8,-22.4,0.6,0.0,73
2019-01-26,-10.4,-24.0,0.8,0.0,73
2019-01-27,-10.9,-19.2,1.3,0.0,73
2019-01-28,0.9,-19.0,10.1,0.1,75
2019-01-29,-6.9,-18.4,0.8,0.0,71
2019-01-30,-18.0,-30.8,0.0,0.0,3
2019-01-31,-20.0,-32.5,0.3,0.0,71
2019-02-01,-9.6,-19.2,1.8,0.1,73
2019-02-02,3.6,-11.6,0.0,0.0,3
2019-02-03,8.1,2.8,0.2,0.2,51
2019-02-04,11.8,5.7,4.9,4.9,61
2019-02-05,4.1,-6.0,0.0,0.0,3
2019-02-06,2.7,-1.2,16.2,16.2,63
2019-02-07,10.4,0.5,9.6,9.6,61
2019-02-08,-1.1,-14.4,0.0,0.0,3
2019-02-09,-5.3,-14.9,0.0,0.0,2
2019-02-10,-1.6,-6.9,2.0,0.0,73
2019-02-11,0.3,-2.6,0.4,0.0,71
2019-02-12,1.2,-1.2,14.7,7.2,75
2019-02-13,0.2,-8.8,1.4,0.0,71
2019-02-14,9.9,-4.8,0.0,0.0,3
2019-02-15,3.8,-10.6,0.0,0.0,3
2019-02-16,-1.4,-8.9,0.0,0.0,3
2019-02-17,-2.0,-4.8,4.8,0.0,73
2019-02-18,-2.4,-3.8,2.8,0.0,73
2019-02-19,-2.6,-11.9,0.0,0.0,3
2019-02-20,3.3,-2.6,4.9,1.2,75
2019-02-21,1.8,-4.2,0.0,0.0,3
2019-02-22,1.1,-5.1,0.0,0.0,3
2019-02-23,3.7,-0.8,3.2,3.2,55
2019-02-24,9.9,-5.1,7.9,7.8,71
2019-02-25,-3.9,-14.1,0.0,0.0,3
2019-02-26,-4.2,-7.5,0.0,0.0,3
2019-02-27,1.5,-4.7,1.2,0.0,73
2019-02-28,-3.5,-9.5,0.0,0.0,3
2019-03-01,-0.1,-5.6,0.0,0.0,3
2019-03-02,-0.2,-2.5,0.3,0.0,71
2019-03-03,-2.1,-6.5,0.4,0.0,71
2019-03-04,-8.0,-18.6,0.0,0.0,2
2019-03-05,-4.6,-13.0,0.0,0.0,3
2019-03-06,0.9,-12.9,0.0,0.0,3
2019-03-07,-1.6,-9.1,0.0,0.0,3
2019-03-08,1.8,-6.1,0.2,0.0,71
2019-03-09,4.5,-2.0,18.3,18.3,65
2019-03-10,7.2,2.0,8.6,8.6,63
2019-03-11,6.2,-4.7,0.0,0.0,3
2019-03-12,10.6,-5.4,0.0,0.0,3
2019-03-13,15.6,4.0,3.4,3.4,61
2019-03-14,15.6,9.9,13.0,13.0,63
2019-03-15,6.9,1.8,1.8,1.6,71
2019-03-16,5.2,-3.5,0.0,0.0,3
2019-03-17,6.1,-3.0,0.6,0.1,71
2019-03-18,5.3,-3.0,0.0,0.0,3
2019-03-19,9.9,-2.5,0.0,0.0,3
2019-03-20,7.8,2.8,6.6,6.4,71
2019-03-21,7.7,1.1,1.8,1.8,51
2019-03-22,5.4,0.8,0.0,0.0,1
2019-03-23,7.9,-3.8,0.0,0.0,3
2019-03-24,8.1,2.3,4.3,4.3,53
2019-03-25,3.0,0.9,1.8,1.8,53
2019-03-26,4.4,-2.2,0.0,0.0,3
2019-03-27,13.1,-2.2,0.0,0.0,3
2019-03-28,18.7,5.3,2.2,2.2,55
2019-03-29,7.7,2.8,2.5,2.5,53
2019-03-30,5.5,1.3,18.1,17.7,71
2019-03-31,3.0,-5.0,0.1,0.0,71
2019-04-01,9.2,-4.1,0.0,0.0,3
2019-04-02,12.4,1.8,0.0,0.0,3
2019-04-03,14.1,1.4,0.0,0.0,3
2019-04-04,10.9,4.7,10.7,10.7,55
2019-04-05,8.4,3.5,3.5,3.5,53
2019-04-06,12.8,3.8,0.0,0.0,3
2019-04-07,18.8,9.1,1.7,1.7,53
2019-04-08,17.1,9.9,0.2,0.2,51
2019-04-09,17.4,7.1,0.0,0.0,3
2019-04-10,14.5,1.9,3.1,3.1,55
2019-04-11,14.6,2.7,0.5,0.5,53
2019-04-12,14.0,6.3,10.8,10.8,61
